"","gene_short_name","value_1","value_2"
"907","Pmm2",68.0435,172.568
"908","CG31041",21.7315,54.98
"909","CG43090",5.13811,12.9957
"910","CG12320",5.51325,13.9444
"911","CG34039,CR44843",24.5741,62.1521
"912",NA,1.85632,4.69
"913","CG9649",1.80071,4.54548
"914","Gbp3",4.97879,12.5676
"915","CG43795",0.280859,0.708899
"916","Zfrp8",17.305,43.6283
"917","DNaseII",3.20703,8.05697
"918","CR33987,tio",2.29809,5.76553
"919","CG34150",75.9128,190.358
"920","Nha1",2.41913,6.06528
"921","CG17108",150.464,377.02
"922","ChAT,VAChT",10.3653,25.9617
"923","mAChR-A",0.567284,1.4203
"924","CG32633",7.97032,19.9368
"925","CG32683",0.644654,1.61186
"926","Amy-p",18.4593,46.1413
"927","nonA",81.1506,202.833
"928","CR45216,sosie",9.75418,24.3691
"929","CG31121",2.13247,5.32306
"930","zetaCOP",103.612,258.547
"931","bond",3.46974,8.65772
"932","kuz,mir-2489",147.34,367.54
"933","CG8602,Cln7",93.5927,233.227
"934","CG18815",164.009,408.022
"935","CG4752",9.58525,23.8421
"936","trp",7.59863,18.8984
"937","Ets98B",4.11655,10.2284
"938","CG3337,CR44265",18.3556,45.5209
"939","CG11889,CG11891",1.73132,4.293
"940","Sptr",42.7318,105.825
"941","Aac11",44.873,111.085
"942","CG10470",107.217,265.395
"943","nSyb",7.28421,17.991
"944","hui",2.84931,7.03475
"945","CG10166",57.6603,142.065
"946","Ciao1",97.6,240.466
"947","CG5013",14.4558,35.5911
"948","CG1309",33.1002,81.4759
"949","CR44386",8.65575,21.2804
"950","CG8837",0.773954,1.90086
"951","Gs2",26.132,64.0528
"952","Ser7",1.56259,3.83007
"953","Nop56",161.773,396.398
"954","Bet5",21.9626,53.7814
"955","Hex-A",427.227,1045.92
"956","Nplp2",73.0452,178.75
"957","CG8891",68.8817,168.557
"958","apolpp",26.0526,63.7502
"959",NA,2.65169,6.48817
"960","salm",9.59485,23.472
"961","CRAT",7.47574,18.2805
"962","vir-1",390.803,955.536
"963",NA,3.89856,9.52345
"964","CG17593",73.2553,178.883
"965","CG4390",91.9415,224.49
"966","CG6153",37.4959,91.5191
"967","Jon99Fi",23.6031,57.6087
"968","elB",6.6382,16.1992
"969","CG32163",19.0727,46.5371
"970","CG11505",369.044,900.108
"971","TotC",22.8099,55.6014
"972","hh",1.29001,3.1438
"973","CG42795",0.813594,1.98199
"974","CG2604",73.2051,178.17
"975","mRpS18C",71.655,174.301
"976","Nplp3",19.8268,48.2076
"977","nkd",3.12182,7.59007
"978","CG17124",12.1973,29.6521
"979","CG16817",661.914,1608.87
"980","CG8860",296.606,720.835
"981","CG12780",27.5588,66.9664
"982","CG1304",1.68391,4.09161
"983","S6k",109.203,265.245
"984","ND-B16.6",262.838,637.592
"985","east",78.4807,190.272
"986","nAChRbeta1",7.03027,17.0379
"987","Drip",6.15155,14.9065
"988","mRpL32",50.2152,121.67
"989","CG12975",64.6001,156.451
"990","eca",95.2839,230.561
"991","SoxN",1.07026,2.58225
"992","CG2970,fzr2",143.032,345.08
"993","CG45002",0.936539,2.25945
"994","CG9669",345.899,833.76
"995","beat-IIIb",0.984654,2.37292
"996","CG1809",2.40267,5.78679
"997","CG3803",22.2918,53.6849
"998","CG42313",0.569575,1.37056
"999","CR44725",8.7417,21.0228
"1000","CG1907",32.4288,77.9792
"1001","Ski6",19.597,47.1159
"1002","Rdl",28.408,68.2839
"1003","CG30371",8.26498,19.8642
